name,ngpus,TP,PP,EP,CP,DP,sub_seq_length,micro_batch_size,num_of_micro_batches,pipeline_parallelism_bubble_rate,data_parallel_sharding_strategy,total_memory_gb,model_and_optimizer_states_memory_gb,activations_memory_gb,cross_entropy_activation_memory_gb,practice_activations_memory_gb,expert_parameters_m,non_expert_parameters_m,expert_layers_activations_gb,practice_expert_layers_activations_gb,non_expert_layers_activations_gb,mlp_activation_mb,moe_activation_mb,token_imbalance_hypothesis
LLaMA-3.1 405B,8,1,1,1,4,2,2048,1,2048.0,0.0,FULLY_SHARD,3166.0400390625,3023.8125,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,2,1024.0,0.0,FULLY_SHARD,3308.267578125,3023.8125,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,4,2,2048,4,512.0,0.0,FULLY_SHARD,3592.72265625,3023.8125,568.91015625,9.78515625,568.91015625,0.0,387048.0,0.0,0.0,568.91015625,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,1,4096.0,0.0,NO_OP,6874.69189453125,6803.578125,71.11376953125,1.22314453125,71.11376953125,0.0,387048.0,0.0,0.0,71.11376953125,344.0,32.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,2,2048.0,0.0,NO_OP,6945.8056640625,6803.578125,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,4,1024.0,0.0,NO_OP,7088.033203125,6803.578125,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,1,4096.0,0.0,OPTIMIZER_STATES,6874.69189453125,6803.578125,71.11376953125,1.22314453125,71.11376953125,0.0,387048.0,0.0,0.0,71.11376953125,344.0,32.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,2,2048.0,0.0,OPTIMIZER_STATES,6945.8056640625,6803.578125,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,4,1024.0,0.0,OPTIMIZER_STATES,7088.033203125,6803.578125,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,1,4096.0,0.0,OPTIMIZER_STATES_AND_GRADS,6874.69189453125,6803.578125,71.11376953125,1.22314453125,71.11376953125,0.0,387048.0,0.0,0.0,71.11376953125,344.0,32.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,2,2048.0,0.0,OPTIMIZER_STATES_AND_GRADS,6945.8056640625,6803.578125,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,4,1024.0,0.0,OPTIMIZER_STATES_AND_GRADS,7088.033203125,6803.578125,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,1,4096.0,0.0,FULLY_SHARD,6118.73876953125,6047.625,71.11376953125,1.22314453125,71.11376953125,0.0,387048.0,0.0,0.0,71.11376953125,344.0,32.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,2,2048.0,0.0,FULLY_SHARD,6189.8525390625,6047.625,142.2275390625,2.4462890625,142.2275390625,0.0,387048.0,0.0,0.0,142.2275390625,688.0,64.0,1.0
LLaMA-3.1 405B,8,1,1,1,8,1,1024,4,1024.0,0.0,FULLY_SHARD,6332.080078125,6047.625,284.455078125,4.892578125,284.455078125,0.0,387048.0,0.0,0.0,284.455078125,1376.0,128.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,1,1024.0,0.0009765625,NO_OP,3960.9140625,3401.7890625,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,2,512.0,0.001953125,NO_OP,4520.0390625,3401.7890625,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,4,256.0,0.00390625,NO_OP,5638.2890625,3401.7890625,2236.5,39.140625,2236.5,0.0,193524.0,0.0,0.0,2236.5,11008.0,1024.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,1,1024.0,0.0009765625,OPTIMIZER_STATES,2260.01953125,1700.89453125,559.125,9.78515625,559.125,0.0,193524.0,0.0,0.0,559.125,2752.0,256.0,1.0
LLaMA-3.1 405B,8,1,2,1,1,4,8192,2,512.0,0.001953125,OPTIMIZER_STATES,2819.14453125,1700.89453125,1118.25,19.5703125,1118.25,0.0,193524.0,0.0,0.0,1118.25,5504.0,512.0,1.0
